A,B,result
Backpropagation,Linear separability,0
Data mining,Decision tree,0
Decision tree,AdaBoost,0
Mixture model,Bayes' theorem,0
Level of measurement,Mode (statistics),1
Accuracy and precision,Positive and negative predictive values,0
Median,Interquartile range,0
Random forest,Mode (statistics),0
Conditional probability,Decision tree,0
Information retrieval,Precision and recall,0
Standard deviation,Biclustering,0
Standard deviation,K-medoids,0
Decision tree learning,Artificial neural network,0
Maximum likelihood,Probability density function,1
Standard deviation,Statistical hypothesis testing,0
Accuracy and precision,Learning rate,0
Correlation and dependence,K-medoids,0
Machine learning,Random forest,0
Arithmetic mean,Data mining,0
